Drug,Count
reated,2
plavix aggrenox,1
folic acid vitamin d eplerenone,1
aricept seroquel,1
ondansteron,1
steroids cytoxan,3
prednisone plaquenil,1
carvedilol carvedilol,3
piperacillin tazo s tobramycin s acid,1
tylenol lipitor,1
qhs nifedipine,8
integrilin eptifibatide,3
metoprolol simvastatin lisinopril,1
multivitamin minerals lutein,21
po tid timolol maleate,1
clozapine overdose,1
charcoal succ etomidate,1
calcium phosphate magnesium lithium,1
clozaril overdose,2
clozaril overdose suicide attempt s p,1
na deoxyribonucleotide,1
vit b am hba c hgb done a c done,1
po tid valsartan,1
ampicillin vancomycin ceftriaxone,1
d cing acyclovir,1
hcv etoh cirrhosis c b ascites encephelopathy,1
tamoxifen hemorrhoids,1
hcv etoh cirrhosis c b ascites encephelopathy jaundice,1
etravirine abacavir lamivudine raltegravir urinary tract infection,1
daptomycin tinea corporis,1
midodrine omeprazole cipro lactulose rifaximin,1
simethicone ketoconazole cortisone,1
calcium lisinopril,1
aluminum magnesium,13
bloating,1
cream appl pr prn rectal discomfort,1
vanc zosyn aztreonam,1
sputum afb mycobacterium avium,1
benzodiazepines ssris,1
dilantin g and l ns,1
prozac amoxicillin,1
remeron qpm compazine,1
s p carotid artery stent,1
lidocaine qid,1
potassium lasix,2
quinapril atenolol,1
tamezopam amytriptyline seroquel,1
sinvastatin aspirin,1
cmo ppx pantoprazole,1
u ffp vit k im,1
terbinazole,1
aloe vesta moisture barrier ointment left medial ankle ulcer,1
moisture barrier ointment,3
famotidine prednisone,1
oxycontin doxepin prednisone,1
lactulose spironolactone,1
silicone,10
valsartan doxazosin,1
amio amiodarone,1
glucose urea nitrogen,2
blood cx staphylococcus,2
levitiracetam,6
miconazole nitrate cream tid folic acid,1
enterobacter cloacae cefepime s ceftazidime,25
tobramycin s anaerobic,3
taxol carboplatinum,2
cefdinir,7
dexamethasone depression,1
senna colase polyethylene glycol,1
multivitamin folic acid depression,1
venlaflaxine,2
vit b complex tab po daily colace mg po bid lactulose,1
b fragilis c perfringens,13
chol prostate,1
doxercalciferol multivitamin,1
piperacillin tazo s tobramycin r anaerobic,2
ketoconazole cream ketoconazole shampoo,1
meropenem s nitrofurantoin s piperacillin s piperacillin tazo s tobramycin s trimethoprim sulfa s pm urine serology,1
vanco levo clinda,1
sodium hypernatremia,2
antiseizure,25
cvas,4
senna colace lactulose,3
units tid lactulose,1
valvuloplasy,1
losartan gabapentin,2
acetyl,3
sodium citrate,6
acth,1
albuterol calcium carbonate clotrimazole dexamethasone,1
fluticasone salmeterol folic acid insulin lactulose lidocaine,1
magnesium oxide montelukast sodium morphine,1
contin oxycodone,1
pantoprazole rifaximin vitamin d,1
solumedrol ipratroprium albuterol,1
tbm,9
prednisone neck discomfort,1
49122,7
phenylephrine milrinone,4
cyclophosphamide bactrim,1
calcium vit,2
tiotoprium,2
permethrin,3
vanco levo ctx,2
appetite oncology,1
swalloe,1
qhs macrocytic anemia,1
qhs thiamine folic acid,1
vit c vit b,2
tincture qid diphenoxylate atropine,1
bolletii,1
amikacin tigecycline,1
"56400"",""998",1
simvastatin lidoderm,1
seroquel allergy,1
ampicillin flagyl azithromycin,1
anaerobes,3
levofloxacin acyclovir,1
steroids nsclc,1
clonazepam zolpidem,1
glucose calcium,12
kayexolate,1
rifaximin nadolol sucralfate,1
darunavir ritonavir lamivudine,1
po bid lamivudine,6
po qid losartan,1
flagyl clindamycin,3
80701,20
argatroban lamictal,1
wafarin lamotrigine,1
po bid docusate,8
oxacillin s trimethoprim sulfa s imaging cxr no acute pneumonia,1
neomycin polymyxin ointment to right eye,1
calcium vitamin d nitro prn,1
cipro meropenem,1
lasix aldactone rifaximin,1
9895,1
admininstered,1
cyclosporin neoral,1
hydralazine qid protonix qd,1
cardura qpm rapamycin,1
macrodantin aztreonam,1
vancomycin rash,2
nortryptilline,1
appetite fatigue chest pain palpitations rhinorrhea nasal congestion cough,8
qid rifaximin,4
multivitamin ergocalciferol vitamin d unit weekly discharge medicationsdischarge diagnosis primary hepatic encephalopathy,1
tones,1
acyclovir prednisone metoprolol folic acid,1
meropenem s nitrofurantoin s piperacillin s piperacillin tazo s tobramycin s trimethoprim sulfa s am sputum site endotracheal source endotracheal final,1
s p nafcillin,1
metformin lisinopril,3
vasopressin neosynephrine,3
appetite denies headache,1
meropenem flagyl,3
paitent,15
qhs glipizide,5
hemodynamcis,1
tiotropium bromide mcg caps w inhalation device s once daily crestor mg tab oral tablet s once,1
qhs topamax,4
qpm topamax,1
aspirin penicillins sulfa,1
oxycodone acetaminophen elixir,2
polyethylene glycol g po daily senna,3
po qid prednisone,3
metoprolol hyperlipidemia,3
lovastatin diabetes type ii hold oral meds cont riss parkinsons disease,1
rasagiline,4
carbidopa levodopa qid entacapone,1
lactate potassium,3
ampicillin metabolic abnormalities,1
qid heparin,3
po qid ferrous sulfate,4
qid remeron,3
qid metoprolol tartrate,3
atorvastatin atorvastatin,1
po bid triamterene hydrochlorothiazide,1
nateglinide,6
polyethylene glycol g po daily prn constip order,1
vanccomycin flagyl micafungin,1
lactulose qid anemia,1
rifaximin propranolol ursodiol,1
spironolactone furosemide,3
zofran dilaudid,1
diltiazem anxiety depression,1
premarin osteoarthritis,1
qhs duloxetine,6
albuterol mdi ferrous sulfate,1
vanc levo cefepime,3
nystatin miconazole benadryl,1
valacardine calcium carbonate,1
nausea w o c o pain w eating,1
cetacaine,6
vit k and u ffp ng lavage showed coffee ground emesis,1
atenolol amlodipine,3
inefective,1
deferoxamine,7
deferoxamin,1
deferoxamine escitalopram,1
baclofen fentanyl,1
lamivudine abacavir tenofovir ritonovir fosamprenivir cd vl was re checked per pt request and results are pending so will need to be,1
tenofovir fosamprenavir ritonavir albuterol,1
omeprazole oxybutynin tylenol,1
ferrous sulfate simethicone,1
po bid timolol maleate valsartan,1
morphine sulphate,3
co urea,16
glucose calcium phosphate magnesium,7
ceftriaxone diabetes,1
sodium cardiac diabetic,1
qid baclofen,1
bethenachol,1
qid tramadol,1
plavix hypothyroid,1
cholestipol,1
lisinoprol,4
solumedrol xanax,1
levophed dobutamine lido midaz fent boluses prn vent settings ac vs prior to transfer hr o bp map past medical historypertinent results am blood wbc rbc hgb hct mcv mch mchc rdw plt ct am blood neuts lymphs monos eos baso am blood pt ptt inr pt am blood glucose urean creat na k cl hco angap,1
po tid flaxseed oil,1
antibiotcis vancomycin cefepime,1
flagyl vancomycin,10
vitamin b diltiazem,1
qid docusate,1
qmwf digoxin,1
protonix octreotide levofloxacin,1
thiamine protonix,2
nortripytline,1
qhs bisacodyl,24
dailr,1
diag om pda,1
slit,1
ergocalciferol vitamin d unit capsule sig one capsule po x week sa,2
calcium phosphate magnesium acetone,1
cefepime pseudomonas cipro,1
po qd vitamin c tab po bid zinc,1
po tid vancomycin,2
chlorhexadine,8
sodium potassium chloride co alt sgpt ast sgot alk phos tot bili,1
calcium phosphate magnesium triglycer,1
lactate acidosis,6
82129,1
calcium phosphate magnesium urea,1
d,3
calcium chloride,14
sodiums,1
deline,1
lysine,5
dopamine dopamine,3
vancomycin dopamine,1
fatty liver,22
thiamine folate hyperlipidemia,1
chol hdl,3
p coronary artery byapss graft x,1
zyprexa seroquel,1
ipratropium albuterol gastrointestinal,1
glipizide metformin hypothyroidism,1
glipizide pantoprazole levothyroxine doxepin zyprexa paroxetine folate metformin spiriva,1
ranitidine albuterol,2
blue lips,2
nexium albuterol neb pepcid acetominophen,1
vanc aztreonam cipro,1
lidocaine neurontin,1
mcg qfriday,1
qid neurontin,2
qid vancomycin,3
aspirin statin plavix,6
diphenhydramine lidocaine,7
po qday losartan,2
ganciclovir oral valgancyclovir,2
levofloxacine,11
meropenem azithromycin,1
albuterol inhaler puffs,4
flagyl levaquin l lr and u prbc,1
heparin fentanyl,1
vitamin c zyprexa protonix,1
lisinopril protonix,1
carisoprodol,9
fluticasone salmeterol lasix,2
oxycodone acetaminophen prednisone,1
propoxyphene acetaminophen simvastatin,1
abomen,1
po qid diltiazem,4
mupirocin ointment,8
triamcinolone acetonide oint,1
clobetasol otcs acetaminophen,1
magnesium hydroxide milk of magnesia,9
sodium phosphates,7
piperacillin tazo s tobramycin s urine cx pseudomonas k colonies sensitivities mic expressed in,1
piperacillin tazo s tobramycin s pm blood cortsol pm blood cortsol radiology,1
lasix tobramycin,1
glucose sodium,1
po bid melatonin,2
qhs phenergan,1
dorzolamide timolol drops,2
qpm prednisone,5
qhs calcium carbonate,13
flagyl vanco po other antibiotics were discontinued he was noted to have a hct of on admission,1
metoprolol dilitazem,1
metronidazole vancomycin,2
staphylococcus epidermidis staphylococcus epidermidis clindamycin,3
thiazide,29
miconazole powder she,1
clotrimazole troches magic mouthwash,1
acylovir,13
bromocryptine,1
bromocriptine,13
dilantin neurontin,1
lisinopril desmospressin cipro,1
metformin humulin protonix sucralfate levothyroxine,1
prbs,3
lovastatin atenolol triamteren hctz,1
vit d vit b testosterone,1
tetrabenazine,2
dronabinol,27
ergocalciferol vitamin d unit capsule sig one capsule po every other day every other,2
vitamin e unit capsule sig,1
adhesive bandage benzoin mastisol,1
compazine gabapentin neurontin,1
qid folic acid,3
zofran ativan,6
amodipine setraline,1
amlodipine aspirin allergy,1
hydrochlorothiazide losartan,1
pregabalin asthma emphysema,1
cmr,5
tobramycin tetracycline,1
lactulose enemas,18
rifaximin hypernatremia hyponatremia,1
potassium chloride meq po bid mirapex,1
qhs trazodone,35
qhs hydroxyzine,6
po tid phenazopyridine,1
cyanocobalamin vitamin b mcg po,1
po bid centrum silver,1
po bid tetracycline,1
multivitamins simethicone,1
vancomycin ceftriaxone acyclovir,1
allopurinol lipitor colchicine,1
lasix diazepam,1
zoloft spironolactone,1
enbrel,26
leukovorin enbrel,1
synephrine octreotide,1
synephrine norepinephrine,1
clobetasol clotrimazole,1
vancomycin s aerobic bottle gram stain final gram positive cocci,8
appetite and mood,2
lactate sepsis,8
empiric levo flagyl,1
vanco cipro aztreo,1
vanco cipro aztreo until blood and urine cx,1
providencia stuartii,8
potasium phosphate,1
senna dulcolax,2
dolasetron pain,1
neurontin flexeril morphine,1
triamteren,3
po tid albuterol sulfate,2
seroquel zyprexa,1
vitamin b mcg im,1
ammonium lactate,7
gastritis mycophenolate mofetil,1
po qpm tacrolimus,1
po qam,10
alcohol withdrawal his inital vitals in the ed were ra past medical historypertinent results admission labs pm blood wbc rbc hgb hct mcv mch mchc rdw plt ct pm blood neuts lymphs monos eos baso pm blood pt ptt inr pt pm blood glucose,1
midodrine seizure disorder,1
atenolol felodipine,2
lisinopril zantac,1
po tid ascorbic acid,5
po bid metoprolol tartrate,8
qhs latanoprost,3
mirtazepine,15
qhs metformin,16
creatinine creatinine,11
amiloride,17
po bid fluticasone propionate,3
acyclovir vancomycin ampicillin,1
clopidogrel heparin,1
carvedilol aldactone,1
gemfibrozil isosorbide atenolol,1
atenolol metformin lisinopril,1
depo,1
vancomycin daptomycin,2
leuprolide,23
po bid lupron,1
cyanocobalamin oral garlic oral omega fatty acids,1
qhs venlafaxine,5
qd acidophilus cipro protonix,1
zinc oxide,15
ceftazadime,67
potassium chloride multivitamin,1
fluconizole,2
vitamin b hypothyroidism,1
trileptal paroxetine,1
qhs coumadin d,1
metoprolol fenofibrate simvastatin,1
disulfiram,6
triamterene hydrochlorothiazid mg capsule sig one capsule po,1
tylenol seizure disorder,1
lisinopril depression,3
chol triglyc hdl chol hdl,1
cholesterol copd,1
lidocaine amiodarone,1
statin aldactone,1
lisinopril aldactone,1
hepatitis b and c virus serologies,1
acyclovir vancomycin ampillicin,1
acyclovir flagyl ceftriaxone,1
hepatitis aspiration pneumonia,1
alcoholic starvation ketosis,1
vitamin b ondansetron,1
b cell lymphoma immunophenotypic findings,1
dlbcl,25
neupogen cefepime vanc,1
pantoea,1
pantoea spp,1
aspirin pravastatin,1
po bid enoxaparin,3
vanco motor neuron disease fronto,1
vancomycine cefepime,2
ergocalciferol vitamin d vitamin d unit capsule capsule s by mouth,9
prednisone azathioprine,2
cyclosporine dexamethasone,2
albuterol inhaler flovent,1
albumin globulin calcium magnesium,4
vitamin d centrum silver alendronate,1
gabapentin citalopram,1
clonidine labetalol aliskiren,2
daptomycin ciprofloxicin,1
moisture,2
plavix asprin,1
glypizide,19
glypizide gout,1
captopril carvedilol,2
citalopram trazadone,2
tobramycin s trimethoprim sulfa s am sputum final,2
tobramycin s trimethoprim sulfa s gram stain final,2
lasix hypovolemia,2
throughtou,2
carteolol,1
vitamin c synthroid mcg,1
quinine clindamycin,3
atovoquine azithromycin,1
brudinskis,1
aml s p chemo,1
"V4282, 486",1
lasix glyburide lactulose omeprazole propanolol,1
blood digoxin vancomycin,1
admistration,2
amioadrone,1
sodium chloride tot prot prot crea pm wbc rbc hgb hct mcv mch mchc rdw pm type art temp o po pco,1
oxygen morphine,3
vanco cefepime vanco nafcillin vanco cefepime meropenem,1
vancomycin cefepime levofloxacin,20
nafcillin nafcillin,3
omeprazole furosemide vancomycin,1
amlopidine,9
indinavir ritonavir lamivudine,2
albuterol sulfate methadone,2
indinavir,13
stavudine,19
multivitamins desonide cozaar fentanyl,1
oxycodone simvastatin ursodiol vit b omeprazole,1
kayexalate potassium,4
doxazosin mesylate,3
ketoconazole cream laclotion lotion,1
powd urea cream,1
succinylcholine etomidate vecuronium,1
amlodipine atorvastatin,3
epinephrine vasopressin levophed,1
amio lidocaine,1
septra,4
abscess neck abscell,1
oxacillin s trimethoprim sulfa r prevertebral tissue culture staph aureus coag clindamycin s erythromycin,1
oxacillin s trimethoprim sulfa r anaerobic,2
nafcillin cefepime,1
cefazolin allergy,3
intermittent trace bleeding,1
epinephrine hydrocortisone benadryl,1
tylenol overdose benzodiazepine overdose bipolar disorder,1
fluticasone salmeterol tiotropium,1
guaifenesin codeine,5
clonazepam pain,1
tiotropium bromide mcg capsule w inhalation device sig,1
po qday ondansetron,1
ethanol abuse,1
piperacillin tazo s tobramycin s pm urine source catheter urine culture,1
piperacillin tazo s tobramycin s mri t l spine w w o contrast impression,1
t anterior spacer,1
vancomycin copd,1
albuterol qid atrovent qid,1
vit c gabapentin,1
gabapentin famotidine,1
steroids clonidine,1
vitamin c po bid,1
amoxicillin nsvt,1
digoxin toxicity,30
ciprofloxacin p mirabilis,1
intermediately,3
mehtylprednislone,1
thiamine folate multivitamins,3
trazadone tramadol,1
ipatropium albuterol,2
lisinopril toprol isosorbide mononitrate,1
hydrocodone nambutone,1
duragesic,33
qhs nitro sublingual prn,1
lispro protam lispro,4
79092,1
disconjugate gaze on exam which was negative,1
toradol oxycodone,1
64801,2
protamine vitamin k,1
atropine bicarbonate calcium chloride,1
levophed dopamine,12
iron parkinsons disease,1
sinemet conjunctivitis,1
qwk sinemet,2
erythromycin ointment tid,2
cymbalta simvastatin lisinopril glipizide glargine,1
vanco cefepim,2
cefepim,4
vasopression,11
cholecalciferol vitamin d unit tablet tablet s by mouth,3
vancomycin rifampin,2
appetite depression,1
tobramycin s trimethoprim sulfa s ecg,1
qpm omeprazole,1
atropine digibind,1
ampicillin haemophilus,1
digibind,27
amlodipine captopril,3
creatinine leukocytosis,1
71296,1
glucosamine chondroitin capsule po,1
fatty acids cap po daily discharge medicationsdischarge,1
amlodipine metoprolol nitro gtt,1
atrovastatin,10
valsartan diovan,30
blood acetmnp tte,1
tylenol vancomycin,4
cushingoid,1
bleo,2
diflucan thrush,1
qhs dulcolax oxycodone,1
withour,2
morphine calcitonin,1
neurontin tylenol,1
lisinopril afib,1
calcium cholecalciferol d,5
po tid ibandronate,1
po qday multivitamin,1
"2859"",""733",1
oxycodone tramadol,1
nifedipine anemia,1
V16,16
xanax epogen,1
lipitor lasix,1
appetite suppressants herbal supplements,1
lisinopril felodipine metoprolol,1
floxicin,1
po tid labetalol,3
sodium potassium of chloride,1
bicarbonates,1
mupiricin ointment,1
flagyl decadron,1
piperacillin tazo s tobramycin s trimethoprim sulfa r pm urine final report urine culture final enterococcus sp organisms ml enterococcus sp organisms ml nd morphology sensitivities mic expressed in,1
ctx vanc flagyl,2
levofloxacin azithromycin,3
heparin statin,1
vancomycin flagyl ceftazidime,1
carbidopa levadopa,4
aspirin senna bid,1
gabapentin zoloft zocor oxycodone,1
lisinopril carbidopa levodopa qid amlodipine tolterodine,1
alittle,3
vanc ceftaz cipro flagyl,1
metformin lisinopril remeron qhs simvastatin mertazipine qhs,1
42732,13
steroids pseudomonal,1
metaclopramide,4
calcitriol metoclopramide simvistatin torsemide,1
vit d ferrous sulfate tramadol,1
atorvastatin calcium carbonate,1
menthol colchicine digoxin,1
guaifenesin hydromorphone,1
ipratropium brommide,1
ondansetron sucralfate trazadone,1
po mwf vitamin d unit po x week doctor first,1
po bid metoclopramide,3
po qidachs,1
qid morphine,2
qid omeprazole,9
imipramine,29
doxepin zyprexa,1
cipro stenotrophomonas xanthomonas maltophilia,1
lomotil tincture of opium,1
tordol,3
calcitriol mcg capsule capsule s by mouth,12
camphor menthol,1
vitamin studies tsh was nl in hct on discharge was esld hepc,1
ribavarin interferon,1
ppx po protonix pneumoboots communication with patient and son name ni name ni telephone fax or telephone fax or telephone fax multiple discussions,1
vit d keppra,1
clorazepate clorazepate qpm lipitor tylonol,1
amiodaron,4
erthromycin,1
qhs plavix amiodarone,1
alpha streptococcus or lactobacillus sp nd isolate organisms ml am urine final report urine culture final,1
thinners,17
amio htn,2
carboplatin taxol chest xrt s p recent whole brain radiation,2
lidocain,3
thamine folate,2
etomidate succ,7
pantoprazole cordis,1
alcohol benzo,1
aspirin alcohol,1
amoxicillin clavulanic acid,3
lactulose tamsulosin finasteride prednisone,1
alcohol quadruple,1
heparin heparin,6
keppra seizure,3
alcohol binge and dehydration,1
alcohol withdrawal alcohol abuse,1
c inhibitor disorder,1
potassium creatinine,3
propionibacterium acnes anaerobic bottle gram stain,1
propionibacterium acnes anaerobic bottle gram stain final gram positive rod s discharge labs am month day year wbc rbc hgb hct mcv mch mchc rdw plt ct am month day year neuts lymphs monos eos baso am month day year plt ct am month day,1
benzo withdrawal or,1
trazodone iron,2
succinylcoline etomidate,1
hydroxyurea allopurinol,2
cytarabine idarubicin,4
flagyl vanco ambisome,1
vit k and ffp hct stabilized egd,1
cholest triglyc,3
suppressants,3
simvastatin carotid stenosis,1
gabapentin paroxetine,1
po bid glipizide,14
hydrocodone homatropine,3
qhs vitamin d om fa omeprazole,1
protonix qd senna,1
ferrous sulfate qd camphor menthol,1
mexelitine,2
aggrenox capsule p o b i d colace mg p o,1
octreotide pantoprazole,9
lactulose rifaximin pantoprazole sucralfate,1
sevelamer miconazole powder,1
calcitriol lanthanum,1
losec,1
dry dressings also while on the micu service the patient,1
assymmetric swelling,1
hydrocodone lasix,1
temozepam,1
p coronary artery bypass graft past medical history s p inferior,1
carboplatin etoposide,8
9011,3
prednisone cellcept tacrolimus,1
vitamin for your kidneys start,1
albuterol mdi p r n prednisone,1
qhs nitroglycerin,11
qhs tiotropium bromide,4
piperacillin tazo s tobramycin s trimethoprim sulfa s fungal,1
prazosin clonidine,1
enalapril glyburide glucophage lipitor,1
folic acis,1
p coronary artery bypass graft x type diabetes mellitus hypertension,1
octreotide gtts,15
diuril metolazone,2
di di twins,1
di di twins the patient was admitted to l d with the diagnosis of mild,1
axitinib,5
intraarterial,1
levofloxacin s oxacillin s trimethoprim sulfa s anaerobic bottle gram stain,3
piperacillin tazo s tobramycin s trimethoprim sulfa s am urine source catheter final report urine culture final,1
statin diarrhea,1
po tid alteplase,1
albuterol mdi puff ih q h prn artificial tear ointment appl both eyes prn discharge medicationsdischarge,1
octrotide,5
cisatricurium,3
lasix anemia,10
hemorrhoids,1
humalog insulin sliding scale towards the end of his admission his sugars became more uncontrolled,1
qd multivitamin,6
clindamycin suppresive,4
albuterol benadryl famotidine vancomycin,1
lasix pain,1
papillomata,1
cytoxan adriamycin,2
augmentin levofloxacin,2
herceptin htn atenolol,1
susequent,1
albuterol mdi puff ih q h prn,1
qid potassium chloride,1
liquor,1
bupropion venlafaxine valproate trazodone,1
ketoconazole nizoral shampoo,4
alcohol w delerium tremens,1
fluoxetine tramadol,2
o klebsiella e coli urosepsis mrsa bacteremia,1
v flash pulm edema,1
paricalcitol,8
vitamin a d ointment,1
ammonia lactate,3
vit b psa ammonia tsh ua blood lg nitrite,1
bisphosphanate,1
vitamin e vitamin c percocet tablet q hours discharge medicationsdischarge,1
vancomycin d meropenem d,2
"5579"",""998",1
qpm levothyroxine mcg,1
albuterol atrovent inhaler lido,1
lasix creatinine,3
hemmorhoids,7
simvastatin atenolol lisinopril,1
metformin asthma,2
po bid psyllium,3
calcium carbonate vitamin d nf mg mg unit oral,1
albuterol inhaler puff ih q h,4
albuterol inhaler puff ih q h prn sob,3
fluticasone propionate nasal spry nu,5
gabitril,2
53270,1
pamindronate,5
po tid acyclovir,1
po tid potassium chloride meq po,1
cefpodoxime proxetil,3
lovenox lisinopril,1
desaturate muscle,1
acetazolamide ileus,1
imatinib,23
37272,10
hepatitis c,9
protonix depression anxiety,1
neurontin amitriptyline,1
sulfasalazine dispo,1
diskus sulfasalazine,1
tapazole,11
po bid montelukast sodium,2
fluticasone propionate mcg puff ih hospital pantoprazole,1
methamphetamine,6
methamphetamines,5
sulfamethoxazole,10
9684,1
clopidogrel achalasia,2
lumbar spinal canal stenosis,1
norepi,6
cutlure,1
nitrofurantoin ceftriaxone,1
sumitriptan,2
uptitrated procrit,1
albuterol mdi abdominal pain,1
qid metoprolol succinate,1
vad,7
ecmo mitral regurgitation,1
capoten,2
norepinephrine dopamine phenylephrine,1
phenylephrine norepinephrine dopamine acetaminophen,1
sulbactam ciprofloxacin clindamycin lovenox,1
htn dm,1
metoprolol amlodipine,12
cephalosporin cefadroxil,1
omeprazole clarithromycin,1
rosuvastatin depression,2
311,6
bactrim doxycycline,1
augmentin bactrim,3
qhs nitrofurantoin,1
fluocinolone acetonide,2
decresing,1
qd senna,12
amiodarone neurotoxicity codeine,1
oral abx respiratory distress,1
amoxicillin clavulanate,8
glucosamine sulfate glucosamine,2
thiamine folate multivitamin,8
ciprofloxacin allergic reaction,1
flucanazole,2
tylenol senna maalox lactulose,1
prn benadryl cream dorzolamide timolol,1
polyethylene liner wear,1
lactate hypoxia,2
streptococcus viridans vancomycin,1
qday multivitamin qday,2
acetaminophen lidocaine,1
tylenol nystatin powder imodium potassium,1
alcohol withdrawal duodenal perforation,1
alcohol withdrawal and alcoholism perforated,1
humalog insulin sliding scale neuroendocrine tumor,1
po qpm,3
metoprolol aspirin,10
spironolactone hypertension,1
"5533"",""578",1
hepatitis b or hepatitis c,1
pantoprazole nadolol,1
calcium accetate anemia,1
qhs hydrocodone acetaminophen,4
drops,20
qpm senna po,1
vanco levofloxacin flagyl solumedrol,1
bisprolol,3
bisoprolol,11
prednisode,1
levofloxacin l ivf and blood cultures drawn an ultrasound guided drainage of the right hand was performed expressing a small,1
nafcillin gentamycin,4
nafcillin pain,1
glucose ketones electrolytes,1
streptococcus anginosus milleri,18
clindamycin s erythromycin s penicillin g s vancomycin s anaerobic bottle gram stain,1
antifungals,6
miconazole cream,14
triamcinolone ointment,2
miconazole nitrate powder sig one appl topical qid,6
multivitamin folate thiamine,3
herbal tea,3
lorazepam overdiuresis,1
cough oxybutynin,1
qhs carbidopa levodopa,5
phenyleprhine,1
41091,5
"56210"",""428",1
s p flagyl,1
bactrim unasyn,1
klebsiella esbl,2
bactrim carbapenems zosyn and unasyn,1
qid papain urea unit g spray spray prn for r,1
po qd ascorbic acid,3
po bid mirtazapine,10
qhs famotidine,2
po qd ferrous sulfate,1
po qd seroquel,2
vanco cefepime ampicillin,1
blood digoxin,2
sinemet mirapex,1
aspirin statin carvedilol,1
qam carbidopa levodopa,1
qhs modafinil,2
apresoline,1
cefalosporins,2
miconazole cream acetaminophen,1
epinpehrine,2
dialyvite protonix fluconazole nystatin,1
loop of small,21
p coronary artery bypass grafts x,2
flagyl azithromycin,2
dyazide diuretic continue,1
corticosteroids,18
suppository omeprazole,1
fluroquinolones,4
morphine metoprolol,9
metoclopramide glargine lispro,1
triamterene hydrochlorothiazid,16
qid protonix,11
ceftriaxone cefpodoxime anemia,1
remeron ativan,3
remeron qhs prednisone,1
cilostazol plavix,2
metoprolol aspirin olmesartan,1
multivitamin vitamin b,2
hyralazine,3
ferrous sulfate hypothyroidism,2
calcium phosphate magnesium cholest pm albumin,1
lactulose syrup,1
menthol camphor,1
vit a vit c vit e zinc copper,1
sulcralfate,7
vitamin b pnd vitamin d dihydroxy pnd cta abdomen pelvis,1
tramadol pain,1
calcium vitamin k d,1
tylenol overdose respiratory failure,1
tylenol hepatotoxicity haart,1
hcv alpha antitrypsin liver transplant,1
qhs combivir,2
bilirubin pruritis,1
spironolactone lasix,6
po qid levothyroxine,2
qpm acidophilus,1
cholecalciferol vitamin d oral white petrolatum mineral oil ophthalmic discharge medicationsdischarge,1
gemzar c d,1
lactulose melena,1
po bid paricalcitol,1
rifaximin aldactone lasix remeron protonix nadolol lactulose,1
coagulpathy,2
multivitamin timolol,1
dilantin pneumonia hypertension,1
ipratripium,1
levofloxacin s oxacillin s tetracycline,18
fluroquinolone allergy,1
fidaxomicin,3
fidaxamicin,1
clobetasol ointment depression,1
clobetasol propionate ointment appl,3
po bid nadolol,4
po bid torsemide,4
"311, 459, 250, 357, 272",1
steroid hydrocortisone,1
aminoglycosides,4
mexilitene,6
po qday ambien,1
po qday senna sotalol,1
phosphate shock,1
antacid,9
potassium chloride promethazine,1
sodium potassium chloride meq l bicarbonate,1
calcitriol mcg qmwf ciclopirox,1
zithromycin,1
hyocyamine,2
amytriptyline,11
fluticasone montelukast,2
sulfasalazine anemia,1
po qidachs montelukast,4
vancomycin s anaerobic bottle gram stain,19
statin atenolol,3
vit d u x,1
senna prunes,1
qhs spironolactone,13
hydralazine nipride,1
thiamine hypothyroidism,1
repletes,1
3100,1
levofloxacin s oxacillin s trimethoprim sulfa s stool clostridium difficile,2
naficillin azithromycin cipro flagyl,1
vancomycin nafcillin,5
ceftriaxone cipro flagyl,1
ceftriaxone nafcillin,1
anxiety amlodipine clonazepam,1
lovastatin qpm mesalamine oxycodone,1
vitamin c colace vitamin d iron loperamide,1
lactulose octreotide rifaximin,1
sodium urinary tract infection,1
xanax qid,1
qhs topiramate,2
baclofen naproxen,1
dulcolax laxatives,1
po qday lisinopril,7
po qday vit d,1
"73300"",""578",4
calcium phosphate magnesium uric acid cholest,3
lipids triglycer hdl,1
valium levofloxacin,2
abx levo flagyl,4
qam alphagan dropps,1
vitamin d units hospital,1
staphlococcus esbl klebsiella proteus mirabilis candidia parapsilosis,1
vancomycin meropenem fluconazole,3
gabapentin oxycodone iron,1
staphlococcus esbl klebsiella proteus mirabilis candidia parapsilosis urinary tract infection,1
epivir ritonovir,1
sodium potassium chloride tot prot prot crea am blood wbc lymph abs last name un cd abs cd cd abs cd cd abs cd cd cd am blood glucose,1
pyrimethamine,10
leukovorin,8
vitamins calcium citrate vitamin d cyanocobalamin glucosamine chondroitin omega discharge medicationsdischarge,1
cetuximab,15
folic acid lisinopril ranitidine,1
thiamine allopurinol,1
heparin dulcolax senna tylenol lorazepam,1
pramoxine cream,2
polyethylene glycol tablespoon powder po,1
fluoroquinolone,12
prandial hyperinsulinemia,1
aricept hyperlipidemia,1
sodium potassium chloride bicarbonate,4
phosphate uric acid,2
mitoxantrone etoposide,3
po qd voriconazole,1
zofran valium,1
cyclosporine cellcept,2
oxycodone tylenol,9
po bid cellcept,4
po bid interferon,1
dulcolax chlorhexidine qid citalopram,1
ointment qid famotidine,1
folate heparin,1
vancomycin metronidazole moxifloxacin,1
ceftazidime bicarbonate,1
vanco cefepime flagyl caspofungin,1
moxifloxacin ceftazidime sodium bicarbonate,1
metoprolol lisinopril lasix,3
